name,time,cx,cy,lx,ly,
student1,0,755,123,996,899,
student10,0,425,315,1207,0,
student2,0,809,290,625,899,
student3,0,870,224,86,0,
student4,0,1146,375,0,422,
student5,0,1072,393,106,0,
student6,0,846,469,229,0,
student7,0,538,601,1439,439,
student8,0,534,439,1080,0,
student9,0,581,404,1439,480,
teacher,0,584,165,969,899,
student1,5,797,195,538,899,
student10,5,442,321,1439,375,
student2,5,907,245,0,409,
student3,5,845,273,0,531,
student4,5,825,375,0,342,
student5,5,1152,398,0,351,
student6,5,1135,411,0,357,
student7,5,647,478,686,0,
student8,5,546,502,1189,0,
student9,5,557,435,1439,0,
teacher,5,666,292,445,899,
student1,10,788,209,0,867,
teacher,10,685,275,706,899,
student1,15,803,214,0,899,
teacher,15,638,237,700,899,
student1,20,818,155,817,899,
teacher,20,634,142,1122,899,
student1,25,762,143,0,439,
teacher,25,572,116,364,0,
student1,30,732,153,0,532,
teacher,30,578,134,0,577,
teacher,35,612,170,1499,899,
teacher,40,598,254,825,899,
teacher,45,627,180,595,899,
teacher,50,632,202,1199,899,
teacher,55,555,145,857,899,
teacher,60,542,162,305,899,
teacher,65,584,170,1499,870,
teacher,70,560,172,1499,245,
teacher,75,551,245,1023,899,
teacher,80,623,175,1499,260,
teacher,85,623,174,1499,249,
teacher,90,648,255,1499,301,
teacher,95,646,255,1499,476,
teacher,100,613,212,1499,287,
teacher,105,622,201,1499,645,
teacher,110,562,194,1499,694,
teacher,115,551,272,1097,899,
teacher,120,605,303,796,899,
student2,10,917,272,0,439,
student3,10,814,268,0,276,
student4,10,907,412,0,400,
student5,10,1040,378,0,234,
student6,10,802,477,453,0,
student7,10,630,540,725,0,
student8,10,524,503,1499,0,
student9,10,579,436,1499,261,
student10,10,441,336,1499,395,
student2,15,798,327,0,501,
student3,15,821,283,0,585,
student4,15,904,451,0,181,
student5,15,1006,364,0,217,
student6,15,528,500,400,0,
student7,15,646,536,822,0,
student8,15,533,525,976,0,
student9,15,568,443,1499,211,
student10,15,450,333,1499,379,
student2,20,913,310,0,512,
student3,20,902,322,345,0,
student4,20,848,450,0,289,
student5,20,1032,586,1099,0,
student6,20,780,540,518,0,
student7,20,682,626,661,0,
student8,20,598,507,1499,20,
student9,20,606,497,1499,610,
student10,20,485,374,1499,401,
student2,25,934,240,0,953,
student3,25,900,253,435,0,
student4,25,867,435,538,0, 
student5,25,982,443,491,0,
student6,25,788,495,544,0,
student7,25,677,577,759,0,
student8,25,559,522,791,0,
student9,25,578,442,696,0,
student10,25,433,347,832,0,
student2,30,895,297,0,733,
student3,30,914,285,0,899,
student4,30,1063,338,0,640,
student5,30,991,432,697,0,
student6,30,846,526,256,0,
student7,30,670,585,686,0,
student8,30,407,565,844,0,
student9,30,584,474,786,0,
student10,30,454,367,1499,451,
