Volume,Time,Timestamp,Type
69,0.2,0.2,Ambient
71.4,0.2,0.4,Ambient
68.6,0.2,0.6,Ambient
81.9,0.2,0.8,Teacher 
88.3,0.2,1,Teacher 
78.1,0.2,1.2,Teacher 
84.9,0.2,1.4,Teacher 
86.6,0.2,1.6,Teacher 
70.7,0.2,1.8,Ambient
79.1,0.2,2,Student
84,0.2,2.2,Student
82.4,0.2,2.4,Student
80.8,0.2,2.6,Student
79.7,0.2,2.8,Student
83.1,0.2,3,Student
82,0.2,3.2,Teacher 
86.3,0.2,3.4,Teacher 
88.3,0.2,3.6,Teacher 
70.6,0.2,3.8,Ambient
70.5,0.2,4,Ambient
70.3,0.2,4.2,Ambient
67,0.2,4.4,Ambient
67.6,0.2,4.6,Ambient
69.1,0.2,4.8,Ambient
68.1,0.2,5,Ambient
66.9,0.2,5.2,Ambient
67.7,0.2,5.4,Ambient
65.6,0.2,5.6,Ambient
66.9,0.2,5.8,Ambient
68.3,0.2,6,Ambient
65,0.2,6.2,Ambient
71.5,0.2,6.4,Ambient
81.4,0.2,6.6,Ambient
76.3,0.2,6.8,Ambient
71.4,0.2,7,Ambient
68.2,0.2,7.2,Ambient
65.5,0.2,7.4,Ambient
66,0.2,7.6,Ambient
67.6,0.2,7.8,Ambient
69,0.2,8,Ambient
68.4,0.2,8.2,Ambient
71.1,0.2,8.4,Ambient
66.8,0.2,8.6,Ambient
71.1,0.2,8.8,Ambient
69.1,0.2,9,Ambient
75.6,0.2,9.2,Student
79.7,0.2,9.4,Student
73.7,0.2,9.6,Student
72.1,0.2,9.8,Student
70.1,0.2,10,Ambient
75.8,0.2,10.2,Student
78.1,0.2,10.4,Student
81.6,0.2,10.6,Student
87.3,0.2,10.8,Student
82,0.2,11,Student
71.6,0.2,11.2,Ambient
69,0.2,11.4,Ambient
69.2,0.2,11.6,Ambient
72.7,0.2,11.8,Student
66.4,0.2,12,Ambient
70.8,0.2,12.2,Ambient
74.1,0.2,12.4,Student
67.9,0.2,12.6,Ambient
70.8,0.2,12.8,Ambient
72.3,0.2,13,Student
76.6,0.2,13.2,Student
73.3,0.2,13.4,Student
85.5,0.2,13.6,Student
86.1,0.2,13.8,Student
74.2,0.2,14,Student
72,0.2,14.2,Student
64.9,0.2,14.4,Ambient
73,0.2,14.6,Student
69.6,0.2,14.8,Ambient
69.5,0.2,15,Ambient
77.7,0.2,15.2,Student
74.5,0.2,15.4,Student
69.8,0.2,15.6,Ambient
81.4,0.2,15.8,Student
84.5,0.2,16,Student
86.8,0.2,16.2,Student
85.5,0.2,16.4,Student
78.4,0.2,16.6,Student
71.1,0.2,16.8,Ambient
79.4,0.2,17,Teacher 
83,0.2,17.2,Teacher 
74,0.2,17.4,Teacher 
83.5,0.2,17.6,Teacher 
85.2,0.2,17.8,Teacher 
83.2,0.2,18,Teacher 
71,0.2,18.2,Ambient
83.1,0.2,18.4,Teacher 
86.4,0.2,18.6,Teacher 
85,0.2,18.8,Teacher 
78.3,0.2,19,Teacher 
83.2,0.2,19.2,Teacher 
75.1,0.2,19.4,Teacher 
84.4,0.2,19.6,Teacher 
82.4,0.2,19.8,Teacher 
78.1,0.2,20,Teacher 
75.8,0.2,20.2,Teacher 
78.1,0.2,20.4,Teacher 
84.2,0.2,20.6,Teacher 
75.4,0.2,20.8,Teacher 
76.5,0.2,21,Teacher 
76.4,0.2,21.2,Teacher 
70,0.2,21.4,Ambient
71.7,0.2,21.6,Ambient
77.7,0.2,21.8,Teacher 
84,0.2,22,Teacher 
82,0.2,22.2,Teacher 
78,0.2,22.4,Teacher 
78.6,0.2,22.6,Teacher 
68.6,0.2,22.8,Ambient
70.5,0.2,23,Ambient
69.5,0.2,23.2,Ambient
65.9,0.2,23.4,Ambient
