name,time,cx,cy,lx,ly,
student1,0,755,123,996,899,
student10,0,425,315,1207,0,
student2,0,809,290,625,899,
student3,0,870,224,86,0,
student4,0,1146,375,0,422,
student5,0,1072,393,106,0,
student6,0,846,469,229,0,
student7,0,538,601,1439,439,
student8,0,534,439,1080,0,
student9,0,581,404,1439,480,
teacher,0,584,165,969,899,
student1,5,797,195,538,899,
student10,5,442,321,1439,375,
student2,5,907,245,0,409,
student3,5,845,273,0,531,
student4,5,825,375,0,342,
student5,5,1152,398,0,351,
student6,5,1135,411,0,357,
student7,5,647,478,686,0,
student8,5,546,502,1189,0,
student9,5,557,435,1439,0,
teacher,5,666,292,445,899,
student1,10,788,209,0,867,
teacher,10,685,275,706,899,
student1,15,803,214,0,899,
teacher,15,638,237,700,899,
student1,20,818,155,817,899,
teacher,20,634,142,1122,899,
student1,25,762,143,0,439,
teacher,25,572,116,364,0,
student1,30,732,153,0,532,
teacher,30,578,134,0,577,
teacher,35,612,170,1439,899,
teacher,40,598,254,825,899,
teacher,45,627,180,595,899,
teacher,50,632,202,1199,899,
teacher,55,555,145,857,899,
teacher,60,542,162,305,899,
teacher,65,584,170,1439,870,
teacher,70,560,172,1439,245,
teacher,75,551,245,1023,899,
teacher,80,623,175,1439,260,
teacher,85,623,174,1439,249,
teacher,90,648,255,1439,301,
teacher,95,646,255,1439,476,
teacher,100,613,212,1439,287,
teacher,105,622,201,1439,645,
teacher,110,562,194,1439,694,
teacher,115,551,272,1097,899,
teacher,120,605,303,796,899,
student2,10,917,272,0,439,
student3,10,814,268,0,276,
student4,10,907,412,0,400,
student5,10,1040,378,0,234,
student6,10,802,477,453,0,
student7,10,630,540,725,0,
student8,10,524,503,1439,0,
student9,10,579,436,1439,261,
student10,10,441,336,1439,395,
student2,15,798,327,0,501,
student3,15,821,283,0,585,
student4,15,904,451,0,181,
student5,15,1006,364,0,217,
student6,15,528,500,400,0,
student7,15,646,536,822,0,
student8,15,533,525,976,0,
student9,15,568,443,1439,211,
student10,15,450,333,1439,379,
student2,20,913,310,0,512,
student3,20,902,322,345,0,
student4,20,848,450,0,289,
student5,20,1032,586,1099,0,
student6,20,780,540,518,0,
student7,20,682,626,661,0,
student8,20,598,507,1439,20,
student9,20,606,497,1439,610,
student10,20,485,374,1439,401,
student2,25,934,240,0,953,
student3,25,900,253,435,0,
student4,25,867,435,538,0, 
student5,25,982,443,491,0,
student6,25,788,495,544,0,
student7,25,677,577,759,0,
student8,25,559,522,791,0,
student9,25,578,442,696,0,
student10,25,433,347,832,0,
student2,30,895,297,0,733,
student3,30,914,285,0,899,
student4,30,1063,338,0,640,
student5,30,991,432,697,0,
student6,30,846,526,256,0,
student7,30,670,585,686,0,
student8,30,407,565,844,0,
student9,30,584,474,786,0,
student10,30,454,367,1439,451,
student1,35,714,150,680,899,
student2,35,857,339,0,820,
student3,35,861,266,333,0,
student4,35,1157,303,405,0,
student5,35,1038,390,700,0,
student6,35,801,517,622,0,
student7,35,651,580,875,0,
student8,35,482,522,796,0,
student9,35,570,458,1439,460,
student10,35,442,348,1439,521,
student1,40,692,330,674,899,
student2,40,855,386,0,555,
student3,40,641,458,908,899,
student4,40,1086,313,771,0,
student5,40,1022,504,243,0,
student6,40,676,524,894,0,
student7,40,473,653,846,0,
student8,40,455,520,630,0,
student9,40,561,461,1439,0,
student10,40,442,362,1439,0,
student1,45,776,145,650,899,
student2,45,682,277,0,532,
student3,45,957,265,90,899,
student4,45,1154,388,0,316,
student5,45,1049,412,287,0,
student6,45,779,492,500,0,
student7,45,547,567,885,0,
student8,45,571,488,1337,0,
student9,45,579,452,1439,475,
student10,45,428,347,970,899,
student1,50,788,190,638,899,
student2,50,998,275,0,131,
student3,50,980,272,0,312,
student4,50,1153,414,562,0,
student5,50,1089,371,451,0,
student6,50,858,470,1439,417,
student7,50,678,531,844,0,
student8,50,560,535,753,0,
student9,50,639,487,1439,567,
student10,50,500,405,647,0,
student1,55,730,140,510,899,
student2,55,906,215,0,456,
student3,55,912,232,42,0,
student4,55,984,391,634,0,
student5,55,986,388,611,0,
student6,55,757,413,0,157,
student7,55,640,524,756,0,
student8,55,572,354,1439,411,
student9,55,550,420,1439,0,
student10,55,433,354,1439,252,
student1,60,725,150,664,899,
student2,60,872,232,934,899,
student3,60,800,245,0,360,
student4,60,1078,363,0,25,
student5,60,1081,340,325,0,
student6,60,777,421,477,0,
student7,60,647,494,725,0,
student8,60,578,354,547,0,
student9,60,567,672,1439,772,
student10,60,403,337,703,899,
student1,65,720,168,613,899,
student2,65,870,228,0,420,
student3,65,901,247,348,0,
student4,65,1065,329,227,0,
student5,65,985,346,478,0,
student6,65,914,403,820,0,
student7,65,784,447,365,0,
student8,65,631,457,1048,899,
student9,65,542,346,621,0,
student10,65,412,356,873,899,
student1,70,713,163,0,196,
student2,70,892,324,0,353,
student3,70,893,251,0,684,
student4,70,1074,361,0,666,
student5,70,912,317,355,0,
